,Unnamed: 0,BaseDateTime_x,fenzhong,index,MMSI,BaseDateTime_y,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
98,98,2019-02-02 01:38:01.000000,2019-02-02 01:38,,304604000,,33.48264811209992,-77.52660282887467,12.10528175131862,213.3154131680043,211.328173800767,,,,,,,,,,
99,99,2019-02-02 01:39:01.000001,2019-02-02 01:39,,304604000,,33.48026709777764,-77.5291134609653,12.11150906809446,213.5468003283294,211.5273681118233,,,,,,,,,,
100,100,2019-02-02 01:40:01.000000,2019-02-02 01:40,,304604000,,33.47790183438167,-77.53162785551747,12.11766041254114,213.7853424783912,211.7356742142251,,,,,,,,,,
101,101,2019-02-02 01:41:01.000000,2019-02-02 01:41,,304604000,,33.47555207457552,-77.5341462370056,12.12373608090445,214.0308400127402,211.9528732330118,,,,,,,,,,
102,102,2019-02-02 01:42:01.000000,2019-02-02 01:42,,304604000,,33.47321757102274,-77.53666882990416,12.1297363694302,214.283093325927,212.1787462932227,,,,,,,,,,
103,103,2019-02-02 01:43:01.000000,2019-02-02 01:43,,304604000,,33.47089807638684,-77.53919585868752,12.1356615743642,214.5419028125024,212.4130745198971,,,,,,,,,,
104,104,2019-02-02 01:44:00.999999,2019-02-02 01:44,,304604000,,33.46859334333134,-77.5417275478301,12.14151199195226,214.8070688670169,212.6556390380744,,,,,,,,,,
105,105,2019-02-02 01:45:01.000000,2019-02-02 01:45,,304604000,,33.46630312451977,-77.54426412180636,12.14728791844018,215.0783918840213,212.9062209727937,,,,,,,,,,
106,106,2019-02-02 01:46:01.000000,2019-02-02 01:46,,304604000,,33.46402717261567,-77.54680580509074,12.15298965007377,215.3556722580662,213.1646014490946,,,,,,,,,,
107,107,2019-02-02 01:47:01.000000,2019-02-02 01:47,,304604000,,33.46176524028255,-77.5493528221576,12.15861748309884,215.6387103837021,213.4305615920161,,,,,,,,,,
108,108,2019-02-02 01:48:00.999999,2019-02-02 01:48,,304604000,,33.45951708018392,-77.55190539748139,12.16417171376119,215.9273066554798,213.7038825265978,,,,,,,,,,
109,109,2019-02-02 01:49:01.000000,2019-02-02 01:49,,304604000,,33.45728244498335,-77.55446375553655,12.16965263830664,216.2212614679499,213.9843453778788,,,,,,,,,,
110,110,2019-02-02 01:50:01.000000,2019-02-02 01:50,,304604000,,33.45506108734433,-77.5570281207975,12.17506055298099,216.5203752156631,214.2717312708987,,,,,,,,,,
